flown_key;customer_key;leg_origin_key;leg_dest_key;trip_origin_key;trip_dest_key;flight_key;fare_class_key;channel_key;fare;miles;minutes_late;ticket_number
119;1;7;14;7;2;1;14;1;362;1907;0;6030
119;1;14;2;7;2;82;12;1;21;109;0;6030
119;1;11;15;11;15;2;9;7;220;1160;0;4509
128;1;15;11;15;11;5;20;7;70;368;0;4509
121;1;6;16;6;15;8;17;19;85;445;0;6648
121;1;16;15;6;15;88;8;19;239;1259;0;6648
122;1;15;6;15;6;11;14;19;342;1798;0;6648
133;1;16;9;16;8;18;11;3;33;174;28;4119
133;1;9;8;16;8;90;7;3;302;1590;0;4119
137;1;8;16;8;16;16;13;3;211;1108;0;4119
155;1;7;15;7;13;18;16;4;193;1018;0;5972
155;1;15;13;7;13;82;9;4;221;1165;0;5972
156;1;13;15;13;7;11;9;4;81;426;0;5972
156;1;15;7;13;7;97;1;4;287;1510;0;5972
149;1;18;17;18;17;7;5;5;204;1076;0;4104
150;1;17;18;17;18;8;7;5;161;846;0;4104
162;1;12;13;12;13;4;5;5;109;575;0;787
171;1;13;12;13;12;5;18;5;230;1213;0;787
174;1;2;8;2;8;14;8;14;317;1671;0;8228
182;1;8;2;8;2;4;13;14;139;734;0;8228
157;1;8;1;8;10;17;13;11;272;1433;0;2979
157;1;1;10;8;10;99;6;11;134;707;0;2979
163;1;10;9;10;8;16;10;11;368;1938;0;2979
163;1;9;8;10;8;89;14;11;280;1476;0;2979
165;1;10;12;10;12;3;3;9;104;549;0;596
170;1;12;10;12;10;11;8;9;244;1282;0;596
6;2;3;16;3;16;1;14;3;304;1600;52;2646
7;2;16;4;16;3;11;13;3;47;246;0;2646
7;2;4;3;16;3;75;16;3;86;452;18;2646
19;2;7;3;7;20;23;1;9;93;488;46;5790
19;2;3;20;7;20;93;8;9;209;1102;0;5790
26;2;20;7;20;7;7;18;9;323;1699;0;5790
44;2;17;13;17;20;25;9;3;62;325;0;2391
44;2;13;20;17;20;90;8;3;208;1093;76;2391
49;2;20;17;20;17;13;4;3;369;1941;0;2391
47;2;15;20;15;6;7;10;2;190;1000;0;7902
47;2;20;6;15;6;89;9;2;340;1791;0;7902
55;2;6;15;6;15;7;10;2;146;768;50;7902
43;2;16;12;16;7;22;17;20;19;100;0;788
43;2;12;7;16;7;80;6;20;375;1975;0;788
49;2;7;16;7;16;5;13;20;317;1667;0;788
48;2;16;17;16;17;12;14;20;319;1680;0;6077
50;2;17;1;17;16;4;14;20;80;420;0;6077
50;2;1;16;17;16;87;13;20;358;1885;0;6077
45;2;18;6;18;10;14;1;7;207;1091;0;4073
45;2;6;10;18;10;78;15;7;123;646;0;4073
53;2;10;11;10;18;18;8;7;344;1813;0;4073
53;2;11;18;10;18;95;4;7;284;1495;0;4073
63;2;11;2;11;1;20;1;6;261;1375;0;6655
63;2;2;1;11;1;79;20;6;48;254;0;6655
66;2;1;5;1;11;3;13;6;175;923;19;6655
66;2;5;11;1;11;82;13;6;35;186;0;6655
80;2;9;15;9;10;10;8;20;26;139;0;4604
80;2;15;10;9;10;95;7;20;186;981;0;4604
84;2;10;9;10;9;16;18;20;236;1243;0;4604
74;2;11;9;11;17;14;2;16;374;1968;0;1532
74;2;9;17;11;17;91;20;16;187;985;16;1532
83;2;17;11;17;11;20;5;16;64;339;0;1532
97;2;6;9;6;7;15;4;16;7;35;0;8680
97;2;9;7;6;7;90;8;16;270;1422;0;8680
98;2;7;16;7;6;10;4;16;103;543;0;8680
98;2;16;6;7;6;91;10;16;6;32;0;8680
80;2;18;2;18;2;19;2;20;333;1750;0;7203
89;2;2;18;2;18;14;14;20;376;1977;0;7203
105;2;6;18;6;18;2;13;4;118;619;0;7335
112;2;18;7;18;6;22;16;4;141;741;0;7335
112;2;7;6;18;6;86;12;4;100;525;0;7335
97;2;4;20;4;5;10;6;6;263;1385;0;1763
97;2;20;5;4;5;76;19;6;379;1996;0;1763
101;2;5;4;5;4;5;20;6;270;1423;0;1763
104;2;7;10;7;10;16;2;7;295;1555;0;9244
112;2;10;7;10;7;9;19;7;291;1532;0;9244
111;2;14;8;14;20;7;16;5;232;1219;0;7736
111;2;8;20;14;20;98;17;5;177;930;0;7736
118;2;20;8;20;14;14;13;5;261;1376;77;7736
118;2;8;14;20;14;98;3;5;96;506;95;7736
141;2;4;15;4;19;24;10;17;188;992;0;1135
141;2;15;19;4;19;89;1;17;29;154;0;1135
142;2;19;4;19;4;2;7;17;126;661;0;1135
146;2;10;20;10;9;1;11;9;64;339;0;6225
146;2;20;9;10;9;86;20;9;108;571;0;6225
155;2;9;6;9;10;6;9;9;367;1930;0;6225
155;2;6;10;9;10;91;1;9;185;972;0;6225
130;2;8;12;8;2;1;13;3;215;1134;0;9628
130;2;12;2;8;2;91;5;3;209;1101;37;9628
137;2;2;8;2;8;12;2;3;96;507;0;9628
140;2;18;5;18;5;9;7;12;355;1871;0;3081
141;2;5;15;5;18;24;10;12;25;130;0;3081
141;2;15;18;5;18;92;5;12;82;433;0;3081
156;2;20;14;20;14;7;18;6;210;1104;0;8314
165;2;14;18;14;20;22;19;6;146;766;0;8314
165;2;18;20;14;20;96;17;6;52;273;0;8314
149;2;7;11;7;12;8;5;3;140;738;33;3479
149;2;11;12;7;12;84;20;3;89;468;0;3479
155;2;12;7;12;7;10;7;3;105;551;0;3479
181;2;15;18;15;18;10;3;7;318;1672;0;2075
30;3;3;18;3;18;20;9;13;145;762;0;9430
38;3;18;11;18;3;12;4;13;195;1025;0;9430
38;3;11;3;18;3;76;12;13;97;509;0;9430
28;3;17;7;17;7;17;8;7;152;798;0;2593
32;3;7;4;7;17;16;11;7;258;1360;0;2593
32;3;4;17;7;17;79;1;7;186;977;0;2593
29;3;7;15;7;15;4;16;15;238;1250;0;9939
38;3;15;18;15;7;21;5;15;52;272;0;9939
38;3;18;7;15;7;77;5;15;228;1199;0;9939
41;3;1;12;1;10;23;10;6;172;903;44;830
41;3;12;10;1;10;94;3;6;30;160;0;830
42;3;10;20;10;1;7;7;6;271;1426;0;830
42;3;20;1;10;1;77;11;6;129;681;85;830
32;3;8;10;8;16;7;5;5;61;320;0;9611
32;3;10;16;8;16;78;6;5;336;1770;0;9611
39;3;16;13;16;8;3;5;5;144;757;0;9611
39;3;13;8;16;8;92;10;5;154;811;0;9611
54;3;8;2;8;2;8;13;16;263;1386;0;5643
58;3;2;13;2;8;14;16;16;190;999;0;5643
58;3;13;8;2;8;84;7;16;318;1674;0;5643
63;3;14;16;14;16;9;16;2;320;1684;0;4409
72;3;16;14;16;14;8;13;2;368;1936;55;4409
69;3;13;5;13;5;11;1;9;174;914;0;8505
74;3;5;13;5;13;14;14;9;295;1551;0;8505
71;3;6;4;6;7;11;7;18;1;3;0;7694
71;3;4;7;6;7;87;18;18;362;1906;0;7694
74;3;7;14;7;6;23;3;18;297;1562;0;7694
74;3;14;6;7;6;90;12;18;300;1578;0;7694
89;3;14;12;14;12;13;11;18;252;1324;38;604
90;3;12;2;12;14;19;20;18;250;1317;0;604
90;3;2;14;12;14;78;17;18;291;1530;0;604
82;3;7;9;7;16;3;8;8;155;816;0;7550
82;3;9;16;7;16;90;19;8;364;1917;0;7550
87;3;16;17;16;7;23;13;8;235;1235;0;7550
87;3;17;7;16;7;81;3;8;311;1637;0;7550
89;3;6;20;6;2;18;14;3;248;1303;0;6694
89;3;20;2;6;2;99;13;3;110;577;0;6694
97;3;2;6;2;6;10;10;3;104;548;0;6694
89;3;1;18;1;10;21;11;18;250;1314;0;9185
89;3;18;10;1;10;99;7;18;243;1278;0;9185
94;3;10;17;10;1;19;10;18;369;1941;0;9185
94;3;17;1;10;1;87;2;18;152;798;0;9185
110;3;20;2;20;2;14;17;3;140;739;0;789
120;3;2;20;2;20;3;10;3;30;159;0;789
118;3;4;3;4;16;6;19;12;310;1634;0;6936
118;3;3;16;4;16;97;20;12;177;930;0;6936
128;3;16;4;16;4;17;13;12;39;204;0;6936
114;3;6;9;6;3;20;1;8;26;138;0;8760
114;3;9;3;6;3;75;10;8;48;254;0;8760
119;3;3;6;3;6;13;12;8;123;645;0;8760
123;3;10;6;10;6;7;17;11;255;1342;0;1948
130;3;6;10;6;10;16;8;11;266;1402;38;1948
134;3;6;7;6;7;2;13;12;204;1072;0;7450
142;3;7;6;7;6;20;1;12;184;970;0;7450
155;3;9;5;9;4;14;11;3;379;1993;0;826
155;3;5;4;9;4;77;17;3;245;1287;0;826
165;3;4;9;4;9;2;19;3;272;1432;0;826
135;3;20;19;20;19;18;10;13;331;1740;0;2346
139;3;19;2;19;20;8;11;13;110;581;0;2346
139;3;2;20;19;20;85;8;13;150;789;0;2346
164;3;19;12;19;12;18;14;7;130;686;62;1265
167;3;12;19;12;19;7;11;7;257;1354;0;1265
161;3;9;13;9;13;2;5;16;294;1547;0;8770
165;3;13;9;13;9;8;18;16;375;1975;0;8770
164;3;5;16;5;13;14;13;15;184;968;0;9610
164;3;16;13;5;13;95;15;15;327;1723;0;9610
174;3;13;5;13;5;16;19;15;245;1292;0;9610
180;3;7;13;7;9;14;4;5;221;1161;0;9844
180;3;13;9;7;9;86;12;5;329;1733;0;9844
184;3;9;11;9;7;9;2;5;7;37;0;9844
184;3;11;7;9;7;86;3;5;338;1780;0;9844
177;3;13;11;13;11;6;6;11;136;715;0;5788
182;3;11;13;11;13;13;7;11;269;1415;0;5788
179;3;14;9;14;9;19;7;8;333;1755;0;5411
182;3;9;17;9;14;12;1;8;148;778;42;5411
182;3;17;14;9;14;95;4;8;120;634;0;5411
14;4;15;9;15;9;16;1;19;136;715;63;7502
23;4;9;15;9;15;10;12;19;373;1963;0;7502
16;4;19;16;19;16;15;12;18;129;677;0;697
24;4;16;19;16;19;8;20;18;75;394;0;697
43;4;1;13;1;13;18;17;17;14;72;0;2496
44;4;13;7;13;1;9;5;17;33;174;0;2496
44;4;7;1;13;1;83;16;17;354;1865;0;2496
31;4;17;19;17;19;8;9;5;60;315;0;4079
35;4;19;17;19;17;4;9;5;136;716;0;4079
37;4;20;19;20;19;6;2;9;374;1968;0;5433
45;4;19;5;19;20;1;1;9;21;110;0;5433
45;4;5;20;19;20;89;12;9;186;978;0;5433
39;4;8;6;8;6;17;7;12;119;625;0;7434
40;4;6;8;6;8;2;6;12;338;1781;0;7434
46;4;2;8;2;8;5;10;12;344;1808;0;9216
56;4;8;3;8;2;15;14;12;348;1832;0;9216
56;4;3;2;8;2;76;7;12;339;1784;0;9216
80;4;12;19;12;15;9;19;9;338;1779;0;6333
80;4;19;15;12;15;75;13;9;26;135;0;6333
88;4;15;12;15;12;13;10;9;325;1708;0;6333
59;4;13;5;13;17;4;2;1;42;223;0;6670
59;4;5;17;13;17;93;4;1;323;1700;0;6670
66;4;17;10;17;13;19;20;1;217;1143;0;6670
66;4;10;13;17;13;80;12;1;26;139;0;6670
81;4;3;5;3;5;10;7;14;301;1583;0;1762
88;4;5;2;5;3;2;10;14;240;1263;0;1762
88;4;2;3;5;3;89;15;14;335;1765;0;1762
83;4;3;9;3;9;5;3;15;330;1738;0;2028
89;4;9;3;9;3;12;18;15;370;1945;52;2028
105;4;17;9;17;9;12;5;8;117;618;0;4945
114;4;9;17;9;17;7;6;8;176;925;0;4945
101;4;19;1;19;1;19;4;3;128;674;0;512
108;4;1;17;1;19;16;10;3;360;1894;0;512
108;4;17;19;1;19;77;18;3;137;722;0;512
121;4;1;12;1;12;11;8;12;45;235;0;4893
125;4;12;1;12;1;20;18;12;78;411;0;4893
108;4;12;11;12;11;6;20;11;280;1473;0;8815
114;4;11;12;11;12;3;12;11;340;1791;0;8815
109;4;18;2;18;19;24;20;10;35;183;0;9755
109;4;2;19;18;19;80;20;10;339;1782;0;9755
117;4;19;8;19;18;24;12;10;254;1339;74;9755
117;4;8;18;19;18;79;1;10;292;1537;62;9755
143;4;14;19;14;19;8;14;7;246;1295;0;1699
151;4;19;14;19;14;9;8;7;306;1613;0;1699
145;4;7;2;7;1;14;18;3;173;908;0;7409
145;4;2;1;7;1;92;20;3;327;1719;0;7409
148;4;1;7;1;7;13;14;3;304;1600;0;7409
140;4;8;10;8;10;15;7;3;241;1270;0;9879
141;4;10;11;10;8;14;17;3;239;1259;0;9879
141;4;11;8;10;8;88;20;3;370;1946;0;9879
139;4;8;10;8;20;17;10;1;296;1560;0;5447
139;4;10;20;8;20;86;5;1;234;1231;0;5447
140;4;20;8;20;8;18;10;1;257;1351;25;5447
154;4;13;11;13;11;14;8;1;41;214;0;9995
158;4;11;13;11;13;5;17;1;85;448;74;9995
170;4;8;2;8;2;13;4;8;290;1528;0;2127
171;4;2;8;2;8;13;11;8;24;124;0;2127
184;4;5;15;5;16;7;8;8;7;39;0;7135
184;4;15;16;5;16;98;9;8;135;709;0;7135
177;4;18;14;18;14;11;7;16;41;217;0;240
6;5;9;12;9;18;3;18;6;286;1507;0;721
6;5;12;18;9;18;98;4;6;227;1194;0;721
14;5;18;19;18;9;22;6;6;303;1593;0;721
14;5;19;9;18;9;83;15;6;177;930;0;721
26;5;14;18;14;20;13;13;15;284;1493;0;3225
26;5;18;20;14;20;90;4;15;218;1147;0;3225
36;5;20;14;20;14;12;16;15;265;1396;0;3225
21;5;14;9;14;8;6;1;18;59;309;0;4875
21;5;9;8;14;8;93;1;18;39;204;19;4875
25;5;8;1;8;14;14;4;18;313;1648;0;4875
25;5;1;14;8;14;85;7;18;179;940;0;4875
42;5;7;12;7;12;5;16;11;219;1151;0;8299
52;5;12;7;12;7;13;4;11;2;8;0;8299
58;5;5;6;5;6;16;20;20;368;1938;0;2280
67;5;6;5;6;5;19;14;20;281;1478;0;2280
57;5;8;2;8;14;15;7;17;94;495;0;8166
57;5;2;14;8;14;86;8;17;14;75;0;8166
63;5;14;13;14;8;15;20;17;356;1872;0;8166
63;5;13;8;14;8;81;4;17;339;1784;0;8166
72;5;19;13;19;7;5;12;2;143;751;0;6402
72;5;13;7;19;7;78;16;2;62;324;0;6402
78;5;7;9;7;19;20;8;2;139;732;0;6402
78;5;9;19;7;19;86;11;2;374;1968;30;6402
59;5;14;1;14;11;16;9;7;15;79;0;8503
59;5;1;11;14;11;81;9;7;344;1811;0;8503
65;5;11;3;11;14;18;17;7;122;640;0;8503
65;5;3;14;11;14;86;12;7;295;1554;0;8503
64;5;15;2;15;12;12;13;2;64;336;0;8800
64;5;2;12;15;12;83;1;2;266;1398;0;8800
73;5;12;15;12;15;13;3;2;1;3;0;8800
80;5;14;19;14;19;13;12;14;262;1380;0;5979
88;5;19;14;19;14;9;12;14;307;1614;0;5979
98;5;17;19;17;18;6;12;14;210;1106;0;565
98;5;19;18;17;18;87;12;14;277;1456;0;565
99;5;18;8;18;17;10;6;14;144;756;0;565
99;5;8;17;18;17;78;11;14;144;756;0;565
98;5;16;19;16;19;15;20;20;148;778;0;9964
100;5;19;16;19;16;7;5;20;76;402;0;9964
111;5;2;1;2;1;13;2;7;89;467;0;6811
114;5;1;11;1;2;3;13;7;332;1745;0;6811
114;5;11;2;1;2;91;8;7;378;1991;0;6811
117;5;9;8;9;10;1;3;16;351;1849;0;8554
117;5;8;10;9;10;92;17;16;69;362;0;8554
127;5;10;3;10;9;7;7;16;264;1387;0;8554
127;5;3;9;10;9;87;17;16;87;458;0;8554
125;5;5;10;5;10;18;7;15;191;1006;0;2568
129;5;10;5;10;5;3;8;15;73;383;0;2568
112;5;9;3;9;3;2;18;8;177;931;0;3553
113;5;3;11;3;9;8;12;8;1;6;65;3553
113;5;11;9;3;9;97;2;8;44;231;0;3553
115;5;20;7;20;7;5;2;3;359;1888;0;5072
117;5;7;14;7;20;5;5;3;108;569;0;5072
117;5;14;20;7;20;93;18;3;93;492;0;5072
121;5;18;10;18;10;18;16;17;355;1871;0;671
126;5;10;18;10;18;13;5;17;327;1723;0;671
141;5;8;5;8;4;23;20;20;265;1396;0;3987
141;5;5;4;8;4;94;15;20;35;185;0;3987
144;5;4;8;4;8;6;4;20;314;1650;0;3987
164;5;16;10;16;10;11;19;12;298;1569;0;5600
167;5;10;8;10;16;16;2;12;114;598;39;5600
167;5;8;16;10;16;84;20;12;299;1572;0;5600
166;5;14;16;14;19;19;1;12;295;1552;0;4803
166;5;16;19;14;19;92;18;12;88;461;0;4803
171;5;19;14;19;14;1;9;12;138;725;0;4803
166;5;13;16;13;16;15;6;12;22;115;0;1723
172;5;16;13;16;13;19;2;12;231;1214;0;1723
170;5;18;20;18;17;2;7;10;61;323;40;3503
170;5;20;17;18;17;92;10;10;276;1453;0;3503
176;5;17;14;17;18;16;11;10;1;4;0;3503
176;5;14;18;17;18;78;13;10;255;1340;0;3503
183;5;18;16;18;3;2;20;3;174;917;0;5328
183;5;16;3;18;3;91;15;3;43;224;0;5328
12;6;15;9;15;20;13;6;3;315;1656;0;6747
12;6;9;20;15;20;82;15;3;17;90;0;6747
17;6;20;15;20;15;11;20;3;305;1604;0;6747
28;6;16;9;16;9;8;17;8;246;1297;0;3513
29;6;9;6;9;16;22;10;8;326;1716;0;3513
29;6;6;16;9;16;91;17;8;11;60;0;3513
18;6;4;5;4;19;4;10;6;274;1443;0;2206
18;6;5;19;4;19;88;4;6;335;1765;0;2206
27;6;19;1;19;4;21;7;6;216;1138;66;2206
27;6;1;4;19;4;99;10;6;120;631;0;2206
47;6;14;15;14;15;8;17;17;339;1784;0;274
55;6;15;14;15;14;1;16;17;244;1284;91;274
45;6;6;8;6;8;8;14;16;174;918;0;3410
53;6;8;6;8;6;14;12;16;39;205;0;3410
57;6;1;12;1;18;25;10;14;17;87;0;7344
57;6;12;18;1;18;78;20;14;60;315;0;7344
63;6;18;13;18;1;22;4;14;188;988;0;7344
63;6;13;1;18;1;76;2;14;105;553;0;7344
51;6;18;6;18;6;9;19;19;317;1670;0;7123
54;6;6;18;6;18;14;5;19;278;1464;0;7123
75;6;19;4;19;20;8;20;13;48;254;0;191
75;6;4;20;19;20;93;16;13;16;83;31;191
78;6;20;5;20;19;25;1;13;289;1521;0;191
78;6;5;19;20;19;92;5;13;147;773;0;191
67;6;16;13;16;13;12;5;11;113;595;0;5975
71;6;13;14;13;16;6;6;11;23;119;0;5975
71;6;14;16;13;16;86;17;11;271;1426;0;5975
87;6;11;13;11;1;22;2;17;97;509;0;7400
87;6;13;1;11;1;96;8;17;286;1506;0;7400
89;6;1;11;1;11;6;11;17;299;1573;0;7400
92;6;20;7;20;7;13;7;3;312;1644;0;9751
102;6;7;12;7;20;17;14;3;57;300;0;9751
102;6;12;20;7;20;81;5;3;256;1348;67;9751
79;6;3;18;3;18;16;10;16;10;54;0;4715
89;6;18;3;18;3;14;4;16;314;1653;0;4715
93;6;7;5;7;5;2;14;5;363;1911;77;8353
95;6;5;20;5;7;19;12;5;268;1411;0;8353
95;6;20;7;5;7;75;7;5;2;9;0;8353
102;6;17;15;17;6;21;14;2;299;1572;0;9668
102;6;15;6;17;6;95;10;2;146;771;0;9668
111;6;6;19;6;17;13;3;2;10;50;0;9668
111;6;19;17;6;17;93;13;2;328;1727;0;9668
115;6;16;18;16;2;24;17;18;219;1150;0;8264
115;6;18;2;16;2;87;12;18;92;486;0;8264
116;6;2;20;2;16;8;13;18;7;35;0;8264
116;6;20;16;2;16;75;18;18;333;1751;0;8264
134;6;4;8;4;8;15;17;14;204;1072;0;1244
135;6;8;9;8;4;4;6;14;101;529;0;1244
135;6;9;4;8;4;79;11;14;158;830;0;1244
138;6;12;6;12;7;12;4;4;42;223;0;1773
138;6;6;7;12;7;80;3;4;195;1025;0;1773
147;6;7;15;7;12;13;5;4;374;1967;34;1773
147;6;15;12;7;12;85;18;4;97;512;0;1773
133;6;14;11;14;4;17;7;15;172;904;0;4077
133;6;11;4;14;4;79;9;15;80;419;0;4077
140;6;4;14;4;14;4;2;15;290;1525;0;4077
145;6;13;3;13;15;4;4;18;94;496;0;6516
145;6;3;15;13;15;82;15;18;297;1564;0;6516
152;6;15;13;15;13;1;16;18;231;1217;0;6516
154;6;15;2;15;2;1;13;14;198;1040;0;199
157;6;2;5;2;15;5;6;14;69;362;0;199
157;6;5;15;2;15;76;13;14;225;1184;35;199
149;6;18;19;18;19;11;2;9;143;753;0;8266
152;6;19;11;19;18;2;6;9;266;1400;86;8266
152;6;11;18;19;18;85;3;9;177;930;0;8266
160;6;15;5;15;5;5;5;19;311;1638;0;8237
170;6;5;15;5;15;20;4;19;112;592;0;8237
170;6;8;5;8;1;16;15;7;180;945;0;6957
170;6;5;1;8;1;86;3;7;302;1589;0;6957
171;6;1;8;1;8;7;11;7;253;1330;0;6957
175;6;5;18;5;16;20;6;1;77;403;0;6040
175;6;18;16;5;16;75;10;1;172;906;0;6040
184;6;16;5;16;5;19;1;1;345;1817;0;6040
184;6;16;17;16;8;4;18;17;43;228;0;7249
184;6;17;8;16;8;89;1;17;81;428;0;7249
26;7;15;2;15;2;13;11;11;35;184;0;833
27;7;2;15;2;15;20;5;11;41;217;0;833
19;7;2;19;2;17;12;20;5;152;798;0;1966
19;7;19;17;2;17;84;3;5;249;1311;0;1966
24;7;17;15;17;2;10;2;5;357;1878;0;1966
24;7;15;2;17;2;84;15;5;186;977;0;1966
31;7;11;2;11;20;5;8;10;349;1838;0;2332
31;7;2;20;11;20;82;14;10;113;595;0;2332
36;7;20;11;20;11;15;17;10;75;396;0;2332
25;7;5;4;5;2;16;12;17;27;142;20;1708
25;7;4;2;5;2;89;11;17;293;1542;0;1708
33;7;2;5;2;5;3;6;17;337;1774;0;1708
37;7;9;5;9;14;17;3;14;167;881;0;2748
37;7;5;14;9;14;85;2;14;330;1738;0;2748
41;7;14;9;14;9;6;5;14;260;1366;0;2748
62;7;16;3;16;6;22;10;7;59;310;0;891
62;7;3;6;16;6;94;1;7;348;1833;0;891
67;7;6;16;6;16;7;6;7;84;442;0;891
73;7;20;18;20;18;19;19;11;146;768;0;9722
77;7;18;5;18;20;25;20;11;238;1252;0;9722
77;7;5;20;18;20;79;11;11;30;159;0;9722
75;7;15;7;15;20;5;1;15;17;88;0;410
75;7;7;20;15;20;99;10;15;189;996;0;410
78;7;20;15;20;15;1;20;15;73;382;0;410
62;7;19;5;19;5;14;16;5;279;1466;0;2978
72;7;5;9;5;19;17;19;5;176;927;0;2978
72;7;9;19;5;19;89;16;5;296;1559;0;2978
94;7;20;19;20;1;13;18;12;112;592;0;8825
94;7;19;1;20;1;93;18;12;179;943;0;8825
99;7;1;18;1;20;15;10;12;268;1411;0;8825
99;7;18;20;1;20;90;13;12;202;1061;0;8825
99;7;5;9;5;9;7;7;2;206;1086;0;2518
104;7;9;16;9;5;9;17;2;14;75;0;2518
104;7;16;5;9;5;95;18;2;345;1814;0;2518
85;7;20;19;20;19;13;19;15;324;1703;0;8928
93;7;19;16;19;20;21;7;15;209;1098;0;8928
93;7;16;20;19;20;88;16;15;211;1108;0;8928
100;7;15;3;15;8;24;10;11;139;731;0;3773
100;7;3;8;15;8;90;7;11;278;1464;0;3773
110;7;8;15;8;15;1;1;11;30;156;0;3773
101;7;12;6;12;19;24;10;6;149;783;0;7149
101;7;6;19;12;19;80;7;6;264;1391;4;7149
107;7;19;12;19;12;16;19;6;207;1089;0;7149
102;7;10;11;10;13;24;5;17;70;367;0;4204
102;7;11;13;10;13;99;11;17;371;1951;0;4204
106;7;13;19;13;10;14;12;17;6;29;0;4204
106;7;19;10;13;10;94;10;17;264;1390;3;4204
130;7;17;16;17;16;4;15;6;74;387;0;6814
133;7;16;14;16;17;8;6;6;162;850;0;6814
133;7;14;17;16;17;78;11;6;354;1861;0;6814
140;7;5;19;5;19;2;1;17;239;1259;0;2725
147;7;19;5;19;5;10;15;17;189;996;0;2725
125;7;8;9;8;9;5;12;8;194;1021;0;4682
128;7;9;8;9;8;3;9;8;253;1329;0;4682
149;7;1;5;1;18;8;6;16;46;242;0;5368
149;7;5;18;1;18;93;19;16;253;1333;0;5368
154;7;18;16;18;1;4;6;16;249;1311;0;5368
154;7;16;1;18;1;95;15;16;140;735;0;5368
163;7;16;1;16;1;19;18;18;91;477;0;4310
172;7;1;16;1;16;1;5;18;313;1646;0;4310
154;7;15;16;15;19;7;13;5;171;899;0;9879
154;7;16;19;15;19;86;12;5;196;1033;0;9879
162;7;19;17;19;15;1;7;5;124;651;0;9879
162;7;17;15;19;15;94;4;5;131;687;0;9879
162;7;4;15;4;20;2;6;2;308;1621;32;3138
162;7;15;20;4;20;77;8;2;184;966;0;3138
169;7;20;2;20;4;16;5;2;39;203;0;3138
169;7;2;4;20;4;90;13;2;86;452;0;3138
182;7;3;2;3;2;2;14;14;301;1584;0;7748
19;8;3;7;3;10;6;6;15;101;529;23;3750
19;8;7;10;3;10;76;12;15;180;947;0;3750
27;8;10;3;10;3;3;9;15;175;921;23;3750
12;8;9;1;9;1;15;4;6;24;128;0;7332
22;8;1;4;1;9;9;2;6;137;719;0;7332
22;8;4;9;1;9;92;13;6;253;1329;0;7332
25;8;2;17;2;17;16;18;9;67;353;0;1684
30;8;17;2;17;2;13;12;9;275;1447;0;1684
